adjudication_id	matching_mode	accession	start	end	strand	reference_start	reference_end	curated_reference_product	prediction_A	prediction_B	reviewer_category_A	reviewer_category_B	reviewer_notes
e30bd2338e4b6294	exact	NC_000866.4	12	2189	-	12	2189	RIIA lysis inhibitor	RIIA lysis inhibitor	protein riia			
ee5525f2229ec072	exact	NC_000866.4	3778	5328	-	3778	5328	DNA topoisomerase II large subunit	dna topoisomerase large subunit	DNA topoisomerase II large subunit			
032284f9204055b1	exact	NC_000866.4	6267	6482	-	6267	6482	cef modifier of supressor tRNAs	cef modifier of supressor tRNAs	protein cef			
75d1b804406eb398	exact	NC_000866.4	6653	7141	-	6653	7141	MotB-like transcriptional regulator	MotB-like transcriptional regulator	transcription regulatory protein motb			
13d81df8e0e2a6b7	exact	NC_000866.4	8225	8908	-	8225	8908	exonuclease	exodeoxyribonuclease	exonuclease			
f2dcc88cb49b189c	exact	NC_000866.4	9410	10729	-	9410	10729	Dda-like helicase	atp-dependent dna helicase dda	Dda-like helicase			
2d2485f92c0fab32	exact	NC_000866.4	11908	12510	-	11908	12510	RNA polymerase ADP-ribosylase	RNA polymerase ADP-ribosylase	nad--protein adp-ribosyltransferase moda			
2e89b6943123ae91	exact	NC_000866.4	12507	13130	-	12507	13130	RNA polymerase ADP-ribosylase	RNA polymerase ADP-ribosylase	nad--protein adp-ribosyltransferase modb			
2d1e28ae275668d1	exact	NC_000866.4	14191	14676	-	14191	14676	Mrh transcription modulator under heat shock	rpoh-modulating protein	Mrh transcription modulator under heat shock			
4cd2ead569a68f77	exact	NC_000866.4	15331	15573	-	15331	15573	virion structural protein	small outer capsid protein	virion structural protein			
805650b126cf3056	exact	NC_000866.4	15606	16280	-	15606	16280	SegF homing endonuclease	dna replication protein	homing endonuclease			
b4a9ad42de0ec65c	exact	NC_000866.4	16270	16785	-	16270	16785	dUTPase	nucleoside triphosphate pyrophosphohydrolase	dctp pyrophosphatase			
4b83acbbe8db3b2b	exact	NC_000866.4	16846	17625	-	16846	17625	Dam family site-specific DNA-(adenine-N6)-methyltransferase	dna adenine methylase	DNA methyltransferase			
e6007195c645a285	exact	NC_000866.4	19758	20051	-	19758	20051	spackle periplasmic	protein spackle	spackle periplasmic			
e80e26c584d64eb0	exact	NC_000866.4	20371	20553	-	20371	20553	Dmd discriminator of mRNA degradation	antitoxin dmd	Dmd discriminator of mRNA degradation			
18bef89aec3fe14c	exact	NC_000866.4	20612	22039	-	20612	22039	AAA family ATPase	DnaB-like replicative helicase	dnab-like replicative helicase			
a68539eeb53e80d3	exact	NC_000866.4	22049	22393	-	22049	22393	head vertex assembly chaperone	head vertex assembly chaperone	head formation protein			
98664f3245134a48	exact	NC_000866.4	22386	23561	-	22386	23561	recombinase	recombination and repair protein	recombinase			
0d807fd30fad7180	exact	NC_000866.4	23570	24235	-	23570	24235	homing endonuclease	homing endonuclease	endonuclease sega			
c6c53e7e24fc9dff	exact	NC_000866.4	24400	25455	-	24400	25455	beta-glucosyltransferase	dna beta-glucosyltransferase	beta-glucosyltransferase			
015aa99a7c5c4f55	exact	NC_000866.4	25479	26219	-	25479	26219	thymidylate synthase	thymidylate synthase	deoxycytidylate 5-hydroxymethyltransferase			
add825fce30174ab	exact	NC_000866.4	26373	26624	-	26373	26624	immunity to superinfection	immunity protein	immunity to superinfection			
9d19fc53c60eb3ef	exact	NC_000866.4	27197	29893	-	27197	29893	DNA polymerase	dna-directed dna polymerase	DNA polymerase			
1524ee730b9a7330	exact	NC_000866.4	29972	30340	-	29972	30340	translation repressor	translation repressor	translation repressor protein			
ea4a68404acbe2a8	exact	NC_000866.4	30342	30905	-	30342	30905	clamp loader of DNA polymerase	clamp loader of DNA polymerase	sliding-clamp-loader small subunit			
bd02c383b3a4f0a6	exact	NC_000866.4	30907	31866	-	30907	31866	clamp loader of DNA polymerase	clamp loader of DNA polymerase	sliding-clamp-loader large subunit			
8cdd7dbfccc2cc15	exact	NC_000866.4	31917	32603	-	31917	32603	DNA polymerase processivity factor	DNA polymerase processivity factor	sliding clamp			
fba589f5107bf3d0	exact	NC_000866.4	32659	33048	-	32659	33048	RNA polymerase binding	15 kda rna polymerase-binding protein	RNA polymerase binding			
688408c7858f3871	exact	NC_000866.4	35428	36447	-	35428	36447	SbcD-like subunit of palindrome specific endonuclease	exonuclease subunit 1	SbcD-like subunit of palindrome specific endonuclease			
43ab4d69c5de97cf	exact	NC_000866.4	36624	37826	-	36624	37826	alpha-glucosyltransferase	dna alpha-glucosyltransferase	alpha-glucosyltransferase			
7ff76a65c1413a4a	exact	NC_000866.4	37885	38679	-	37885	38679	homing endonuclease	homing endonuclease	probable mobile endonuclease b			
33389cd74214663c	exact	NC_000866.4	39600	40157	-	39600	40157	RNA polymerase sigma factor	late sigma transcription factor	rna polymerase sigma-like factor			
f36860c9a1240aa3	exact	NC_000866.4	41805	42113	-	41805	42113	NrdH glutaredoxin	thioredoxin domain	uncharacterized 11.8 kda protein in gp55-nrdg intergenic region			
7bc8d700f697205e	exact	NC_000866.4	42446	42916	-	42446	42916	anaerobic ribonucleotide reductase small subunit	anaerobic ribonucleoside-triphosphate reductase-activating protein	anaerobic ribonucleotide reductase small subunit			
575d0910edcf63bb	exact	NC_000866.4	42906	43538	-	42906	43538	homing endonuclease	homing endonuclease	probable mobile endonuclease c			
0a852238000505a0	exact	NC_000866.4	44836	45612	-	44836	45612	I-TevII homing endonuclease	homing endonuclease	intron-associated endonuclease 2			
1f917b910bc70d51	exact	NC_000866.4	46382	46855	-	46382	46855	endonuclease VII	recombination endonuclease vii	endonuclease VII			
c9bbcce9aef7ae74	exact	NC_000866.4	46897	47382	-	46897	47382	inhibitor of host Lon protease	host protease inhibitor	inhibitor of host Lon protease			
d998659e57b2001e	exact	NC_000866.4	48128	48391	-	48128	48391	NrdC thioredoxin	thioredoxin domain	glutaredoxin			
09ffcc279149453f	exact	NC_000866.4	56429	57208	-	56429	57208	homing endonuclease	homing endonuclease	probable mobile endonuclease d			
8bbed1d6f914301a	exact	NC_000866.4	59202	59495	-	59202	59495	lysis inhibition	antiholin	lysis inhibition			
35d357fda4dc58dc	exact	NC_000866.4	61386	61733	-	61386	61733	valyl tRNA synthetase modifier	valyl--trna ligase modifier	valyl tRNA synthetase modifier			
4078de5f94c60ac1	exact	NC_000866.4	62279	62740	-	62279	62740	endoribonuclease	endoribonuclease	endoribonuclease regb			
666abbb7cf705102	exact	NC_000866.4	63557	63919	-	63557	63919	autonomous glycyl radical cofactor GrcA	hypothetical protein	autonomous glycyl radical cofactor			
b5b5542a1968b2b8	exact	NC_000866.4	64939	65355	-	64939	65355	endonuclease V N-glycosylase UV repair enzyme	endonuclease v	endonuclease V N-glycosylase UV repair enzyme			
2464b7409fccde17	exact	NC_000866.4	65416	65718	-	65416	65718	internal virion protein	internal protein ii	internal virion protein			
1662995d7d026399	exact	NC_000866.4	65834	66415	-	65834	66415	internal virion protein	internal virion protein	internal protein iii			
8fd5efddb99649d6	exact	NC_000866.4	66503	66997	-	66503	66997	glycoside hydrolase family protein	hypothetical protein	endolysin			
a86e50a73f2ccc9e	exact	NC_000866.4	71253	71918	-	71253	71918	homing endonuclease	putative endonuclease segb	homing endonuclease			
78bc0b607dd3d07a	exact	NC_000866.4	73591	73878	-	73591	73878	internal virion protein	internal virion protein	internal protein i			
959bae1393c252c9	exact	NC_000866.4	73952	74410	-	73952	74410	RNA ligase	RNA ligase	anti-cbass protein acb1			
cd03f37df89701b8	exact	NC_000866.4	74407	74649	-	74407	74649	tail fiber chaperone	tail fiber assembly helper protein	tail fiber chaperone			
78380d8154b5fb1b	exact	NC_000866.4	74649	75374	-	74649	75374	deoxynucleoside monophosphate kinase	deoxynucleotide monophosphate kinase	deoxynucleoside monophosphate kinase			
d6cd5ff4ae03bd8d	exact	NC_000866.4	75424	75954	-	75424	75954	tail protein	tail tube	tail tube terminator protein			
5568f5f9219f3f11	exact	NC_000866.4	76061	76885	-	76061	76885	DNA end protector	terminal dna protecting protein	DNA end protector			
758ba3f3f6add677	exact	NC_000866.4	76885	77337	-	76885	77337	head closure	head closure	head completion nuclease			
7c04d5108c062da8	exact	NC_000866.4	77385	77975	+	77385	77975	baseplate wedge subunit	baseplate wedge subunit	baseplate wedge protein gp53			
aafb000401dccb4d	exact	NC_000866.4	77959	79686	+	77959	79686	baseplate hub subunit and tail lysozyme	pre-baseplate central spike protein gp5	baseplate hub subunit and tail lysozyme			
d438d9d3f0cb1f25	exact	NC_000866.4	80779	81072	+	80779	81072	PAAR motif of membran proteins	baseplate puncturing device gp5.4	PAAR motif of membran proteins			
f1dd90a3d216f68a	exact	NC_000866.4	81081	83063	+	81081	83063	baseplate wedge subunit	baseplate wedge protein gp6	baseplate wedge subunit			
